Field Name | _scalaStruct | Enumerations | Examples | Descriptions | Data Point Name
"Record Identifier"| lar.larIdentifier.id.toString | 1 - TS, 2 - LAR| | 1 - Transmittal Sheet, 2 - Loan/Application Register|
"Legal Entity Identifier (LEI)"| lar.larIdentifier.LEI | | 10BX939C5543TQA1144M || Legal Entity Identifier (LEI)
"Universal Loan Identifier (ULI) or Non-Universal Loan Identifier (NULI)"  | lar.loan.ULI | | ULI Example - 10BX939C5543TQA1144M999143X38, NULI Example - 999143X || Universal Loan Identifier (ULI) or Non-Universal Loan Identifier (NULI)
"Application Date" | lar.loan.applicationDate | NA | 20210721 || Application Date
"Loan Type"        | lar.loan.loanType.code.toString | 1 - Conventional (not insured or guaranteed by FHA{comma} VA{comma} RHS{comma} or FSA), 2 - Federal Housing Administration insured (FHA), 3 - Veterans Affairs guaranteed (VA) , 4 - USDA Rural Housing Service or Farm Service Agency guaranteed (RHS or FSA),||| Loan Type
"Loan Purpose"     | lar.loan.loanPurpose.code.toString | 1 - Home purchase, 2 - Home improvement, 31 - Refinancing, 32 - Cash-out refinancing , 4 - Other purpose, 5 - Not applicable, ||| Loan Purpose
"Preapproval"      | lar.action.preapproval.code.toString | 1 - Preapproval requested, 2 - Preapproval not requested, | ||
"Construction Method"| lar.loan.constructionMethod.code.toString | 1 - Site{hyphen}built, 2 - Manufactured Home, | ||
"Occupancy Type"   | lar.loan.occupancy.code.toString | 1 - Principal residence, 2 - Second residence, 3 - Investment property, | ||
"Loan Amount"      | lar.loan.amount.toString | | 110500, 110500.00 | Dollar ammount of loan{comma} without commas{comma} with cents (decimal required) or without cents. |
"Action Taken"     | lar.action.actionTakenType.code.toString | 1 - Loan originated, 2 - Application approved but not accepted, 3 - Application denied, 4 - Application withdrawn by applicant, 5 - File closed for incompleteness, 6 - Purchased loan, 7 - Preapproval request denied, 8 - Preapproval request approved but not accepted, | ||
"Action Taken Date"| lar.action.actionTakenDate.toString | | 20210721 | Values in the downloaded LAR file are automatically converted to the valid format. |
"Street Address"   | lar.geography.street | NA, Exempt | 456 W Somewhere Ave Apt 201| | Property Address
"City"   | lar.geography.city | NA, Exempt |Anytown||  Property Address
"State"  | lar.geography.state | NA |CA || Property Location & Property Address
"Zip Code"         | lar.geography.zipCode |NA, Exempt| 90049{hyphen}9998| | Property Address
"County" | lar.geography.county | NA |06037| |Property Location
"Census Tract"     | lar.geography.tract |NA| 06037264000| | Property Location
"Ethnicity of Applicant or Borrower: 1"      | lar.applicant.ethnicity.ethnicity1.code.toString | 1 - Hispanic or Latino, 11 - Mexican, 12 - Puerto Rican, 13 - Cuban, 14 - Other Hispanic or Latino , 2 - Not Hispanic or Latino , 3 - Information not provided by applicant in mail{comma} internet{comma} or telephone application , 4 - Not applicable,  | | If the Applicant or Borrower did not select any ethnicity(ies){comma} but only provided ethnicity(ies) in the Ethnicity of Applicant or Borrower: Free Form Text Field for Other Hispanic or Latino{comma} either leave this data field blank or enter Code 14. | Ethnicity
"Ethnicity of Applicant or Borrower: 2"      | lar.applicant.ethnicity.ethnicity2.code.toString | 1 - Hispanic or Latino, 11 - Mexican, 12 - Puerto Rican, 13 - Cuban, 14 - Other Hispanic or Latino , 2 - Not Hispanic or Latino , 3 - Information not provided by applicant in mail{comma} internet{comma} or telephone application , 4 - Not applicable,  | |If this data field does not contain an entry{comma} leave it blank.<br/><br/>  If the Applicant or Borrower did not select any ethnicity(ies){comma} but only provided ethnicity(ies) in the Ethnicity of Applicant or Borrower: Free Form Text Field for Other Hispanic or Latino{comma} either leave this data field blank or enter Code 14. | Ethnicity
"Ethnicity of Applicant or Borrower: 3"      | lar.applicant.ethnicity.ethnicity3.code.toString | 1 - Hispanic or Latino, 11 - Mexican, 12 - Puerto Rican, 13 - Cuban, 14 - Other Hispanic or Latino , 2 - Not Hispanic or Latino , 3 - Information not provided by applicant in mail{comma} internet{comma} or telephone application , 4 - Not applicable,  | | If this data field does not contain an entry{comma} leave it blank.<br/><br/>  If the Applicant or Borrower did not select any ethnicity(ies){comma} but only provided ethnicity(ies) in the Ethnicity of Applicant or Borrower: Free Form Text Field for Other Hispanic or Latino{comma} either leave this data field blank or enter Code 14. | Ethnicity
"Ethnicity of Applicant or Borrower: 4"      | lar.applicant.ethnicity.ethnicity4.code.toString | 1 - Hispanic or Latino, 11 - Mexican, 12 - Puerto Rican, 13 - Cuban, 14 - Other Hispanic or Latino , 2 - Not Hispanic or Latino , 3 - Information not provided by applicant in mail{comma} internet{comma} or telephone application , 4 - Not applicable,  | | If this data field does not contain an entry{comma} leave it blank.<br/><br/>  If the Applicant or Borrower did not select any ethnicity(ies){comma} but only provided ethnicity(ies) in the Ethnicity of Applicant or Borrower: Free Form Text Field for Other Hispanic or Latino{comma} either leave this data field blank or enter Code 14. | Ethnicity
"Ethnicity of Applicant or Borrower: 5"      | lar.applicant.ethnicity.ethnicity5.code.toString | 1 - Hispanic or Latino, 11 - Mexican, 12 - Puerto Rican, 13 - Cuban, 14 - Other Hispanic or Latino , 2 - Not Hispanic or Latino , 3 - Information not provided by applicant in mail{comma} internet{comma} or telephone application , 4 - Not applicable,  | | If this data field does not contain an entry{comma} leave it blank.<br/><br/>  If the Applicant or Borrower did not select any ethnicity(ies){comma} but only provided ethnicity(ies) in the Ethnicity of Applicant or Borrower: Free Form Text Field for Other Hispanic or Latino{comma} either leave this data field blank or enter Code 14. | Ethnicity
"Ethnicity of Applicant or Borrower: Free Form Text Field for Other Hispanic or Latino"        | lar.applicant.ethnicity.otherHispanicOrLatino ||| Specify in text the Applicant’s or Borrower’s Other Hispanic or Latino ethnicity(ies) provided by the Applicant or Borrower. Otherwise{comma} leave this data field blank. | Ethnicity |  
"Ethnicity of Co{hyphen}Applicant or Co{hyphen}Borrower: 1"| lar.coApplicant.ethnicity.ethnicity1.code.toString | 1 - Hispanic or Latino, 11 - Mexican, 12 - Puerto Rican, 13 - Cuban, 14 - Other Hispanic or Latino , 2 - Not Hispanic or Latino , 3 - Information not provided by applicant in mail{comma} internet{comma} or telephone application , 4 - Not applicable , 5 - No co{hyphen}applicant | |If the Co-Applicant or Co-Borrower did not select any ethnicity(ies){comma} but only provided ethnicity(ies) in the Ethnicity of Co-Applicant or Co-Borrower: Free Form Text Field for Other Hispanic or Latino{comma} either leave this data field blank or enter Code 14. | Ethnicity
